Product_ID,Product_Name,Category,Stock,Reorder_Level,Warehouse,Unit_Price,Supplier,Last_Restocked_Date
PROD00001,Tea Pack - Model 986,Groceries,104,33,Chennai-WH4,691.66,Vertex Imports,2025-02-02
PROD00002,Notebook - Model 403,Books & Stationery,304,38,Hyderabad-WH5,204.24,Vertex Imports,2025-04-27
PROD00003,Cooking Oil - Model 971,Groceries,992,171,Kolkata-WH6,47.61,Skyline Traders,2026-01-04
PROD00004,Saree - Model 297,Fashion,139,29,Bengaluru-WH1,3094.99,Vertex Imports,2025-03-02
PROD00005,Sketchbook - Model 775,Books & Stationery,512,132,Hyderabad-WH5,680.1,Aravind Distributors,2025-07-12
PROD00006,Air Fryer - Model 161,Home & Kitchen,397,92,Delhi-WH3,2141.88,Nimbus Supply Co.,2025-06-07
PROD00007,Jeans - Model 351,Fashion,210,30,Mumbai-WH2,1377.52,Ganga Wholesale,2025-03-12
PROD00008,Monitor - Model 986,Electronics,112,25,Kolkata-WH6,58672.74,Meridian Logistics Supply,2025-02-14
PROD00009,Face Cream - Model 775,Beauty & Personal Care,161,29,Kolkata-WH6,1799.34,Trident Sourcing,2025-02-23
PROD00010,Bedsheet - Model 722,Home & Kitchen,46,21,Mumbai-WH2,3227.39,Vertex Imports,2025-01-09
PROD00011,Jacket - Model 648,Fashion,70,27,Bengaluru-WH1,505.39,Nimbus Supply Co.,2025-02-04
PROD00012,Cycling Helmet - Model 987,Sports & Fitness,69,19,Chennai-WH4,1222.49,Indus Valley Suppliers,2025-01-22
PROD00013,Bedsheet - Model 946,Home & Kitchen,401,65,Kolkata-WH6,7547.14,Aravind Distributors,2025-05-21
PROD00014,Yoga Mat - Model 901,Sports & Fitness,397,74,Mumbai-WH2,2608.78,Indus Valley Suppliers,2025-05-30
PROD00015,Speaker - Model 721,Electronics,121,30,Mumbai-WH2,63198.69,Nimbus Supply Co.,2025-02-07
PROD00016,Running Shoes - Model 424,Sports & Fitness,104,27,Mumbai-WH2,12890.83,Meridian Logistics Supply,2025-02-07
PROD00017,Monitor - Model 328,Electronics,236,37,Kolkata-WH6,3744.52,Trident Sourcing,2025-04-04
PROD00018,Trimmer - Model 803,Beauty & Personal Care,46,19,Kolkata-WH6,1832.18,Ganga Wholesale,2025-01-20
PROD00019,Fiction Novel - Model 339,Books & Stationery,180,26,Chennai-WH4,114.77,Indus Valley Suppliers,2025-03-19
PROD00020,Textbook - Model 422,Books & Stationery,673,145,Delhi-WH3,314.33,Ganga Wholesale,2025-08-31
PROD00021,Laptop - Model 280,Electronics,337,67,Chennai-WH4,73058.15,Vertex Imports,2025-05-07
PROD00022,Dumbbells - Model 112,Sports & Fitness,55,22,Pune-WH7,1514.99,Vertex Imports,2025-02-02
PROD00023,Running Shoes - Model 240,Sports & Fitness,42,20,Bengaluru-WH1,9815.25,Coastal Goods Pvt Ltd,2025-01-30
PROD00024,Notebook - Model 944,Books & Stationery,501,107,Bengaluru-WH1,118.18,Nimbus Supply Co.,2025-07-11
PROD00025,Snack Box - Model 915,Groceries,65,24,Kolkata-WH6,873.07,Skyline Traders,2025-01-13
PROD00026,Trimmer - Model 795,Beauty & Personal Care,246,65,Bengaluru-WH1,567.02,Sunrise Exports,2025-04-17
PROD00027,Cycling Helmet - Model 748,Sports & Fitness,214,60,Pune-WH7,964.06,Indus Valley Suppliers,2025-03-09
PROD00028,Smartphone - Model 437,Electronics,334,83,Bengaluru-WH1,16141.7,Meridian Logistics Supply,2025-05-13
PROD00029,Tea Pack - Model 105,Groceries,378,47,Bengaluru-WH1,92.43,Meridian Logistics Supply,2025-05-24
PROD00030,Cooking Oil - Model 288,Groceries,150,24,Kolkata-WH6,258.86,Trident Sourcing,2025-02-27
PROD00031,Cookware Set - Model 375,Home & Kitchen,102,34,Delhi-WH3,6126.44,Skyline Traders,2025-02-02
PROD00032,Monitor - Model 767,Electronics,228,45,Mumbai-WH2,66960.62,Indus Valley Suppliers,2025-03-28
PROD00033,T-Shirt - Model 336,Fashion,43,18,Bengaluru-WH1,832.21,Coastal Goods Pvt Ltd,2025-01-03
PROD00034,Headphones - Model 756,Electronics,59,21,Bengaluru-WH1,79507.67,Indus Valley Suppliers,2025-01-10
PROD00035,Shampoo - Model 342,Beauty & Personal Care,254,68,Delhi-WH3,2484.49,Aravind Distributors,2025-04-08
PROD00036,Vacuum Cleaner - Model 977,Home & Kitchen,202,60,Pune-WH7,2035.28,Skyline Traders,2025-03-24
PROD00037,Dumbbells - Model 575,Sports & Fitness,216,34,Chennai-WH4,7006.06,Skyline Traders,2025-04-04
PROD00038,Trimmer - Model 997,Beauty & Personal Care,76,17,Chennai-WH4,1315.23,Nimbus Supply Co.,2025-01-24
PROD00039,Smartphone - Model 160,Electronics,174,39,Delhi-WH3,58761.48,Ganga Wholesale,2025-02-25
PROD00040,Makeup Kit - Model 650,Beauty & Personal Care,119,24,Bengaluru-WH1,1207.67,Skyline Traders,2025-02-23
PROD00041,Snack Box - Model 110,Groceries,94,19,Kolkata-WH6,176.24,Nimbus Supply Co.,2025-02-17
PROD00042,Air Fryer - Model 803,Home & Kitchen,103,23,Pune-WH7,1739.66,Aravind Distributors,2025-02-05
PROD00043,Dress - Model 384,Fashion,73,23,Mumbai-WH2,425.25,Nimbus Supply Co.,2025-01-25
PROD00044,Headphones - Model 686,Electronics,143,29,Mumbai-WH2,24512.39,Meridian Logistics Supply,2025-02-17
PROD00045,Pen Set - Model 673,Books & Stationery,196,49,Pune-WH7,856.8,Sunrise Exports,2025-03-02
PROD00046,Fiction Novel - Model 434,Books & Stationery,430,77,Mumbai-WH2,788.98,Coastal Goods Pvt Ltd,2025-06-11
PROD00047,Kurta - Model 140,Fashion,222,28,Chennai-WH4,391.94,Indus Valley Suppliers,2025-03-13
PROD00048,Running Shoes - Model 742,Sports & Fitness,389,107,Chennai-WH4,4833.59,Coastal Goods Pvt Ltd,2025-06-01
PROD00049,Sketchbook - Model 293,Books & Stationery,239,37,Kolkata-WH6,890.46,Aravind Distributors,2025-03-25
PROD00050,Jacket - Model 898,Fashion,364,98,Mumbai-WH2,2483.16,Coastal Goods Pvt Ltd,2025-05-13
